id;train_loss;train_acc;val_acc;val_loss
0;0.787092;0.768750;0.787500;
1;0.623944;0.787500;0.783333;
2;0.575523;0.794643;0.791667;
3;0.540486;0.803571;0.795833;
4;0.495927;0.813393;0.812500;
5;0.463876;0.823214;0.816667;
6;0.430899;0.829464;0.816667;
7;0.402655;0.833036;0.825000;
8;0.392105;0.850893;0.808333;
9;0.363986;0.854464;0.812500;
10;0.365515;0.864286;0.841667;
11;0.327837;0.877679;0.845833;
12;0.347589;0.860714;0.837500;
13;0.314345;0.864286;0.841667;
14;0.317531;0.867857;0.858333;
15;0.292047;0.878571;0.862500;
16;0.280052;0.888393;0.820833;
17;0.277431;0.880357;0.845833;
18;0.261437;0.891964;0.825000;
19;0.278239;0.888393;0.837500;
20;0.242205;0.903571;0.850000;
21;0.256532;0.912500;0.866667;
22;0.237962;0.905357;0.870833;
23;0.247721;0.897321;0.837500;
24;0.203988;0.919643;0.862500;
25;0.200474;0.924107;0.883333;
26;0.223871;0.914286;0.845833;
27;0.194399;0.924107;0.833333;
28;0.208357;0.922321;0.862500;
29;0.206550;0.925893;0.841667;
30;0.187186;0.928571;0.883333;
31;0.159811;0.941964;0.866667;
32;0.184673;0.921429;0.866667;
33;0.167257;0.937500;0.845833;
34;0.145842;0.946429;0.858333;
35;0.168918;0.932143;0.866667;
36;0.160030;0.943750;0.879167;
37;0.152503;0.940179;0.870833;
38;0.141984;0.943750;0.870833;
39;0.152164;0.944643;0.879167;
40;0.150855;0.939286;0.895833;
41;0.136524;0.950893;0.891667;
42;0.129628;0.954464;0.883333;
43;0.153357;0.934821;0.887500;
44;0.136980;0.945536;0.854167;
45;0.149087;0.942857;0.900000;
46;0.122447;0.956250;0.883333;
47;0.123390;0.951786;0.879167;
48;0.141061;0.951786;0.891667;
49;0.128399;0.952679;0.883333;
50;0.122823;0.950000;0.891667;
51;0.121318;0.958929;0.895833;
52;0.126273;0.949107;0.895833;
53;0.118030;0.953571;0.862500;
54;0.128343;0.951786;0.883333;
55;0.118385;0.959821;0.895833;
56;0.117284;0.955357;0.908333;
57;0.111582;0.955357;0.912500;
58;0.110306;0.962500;0.887500;
59;0.123823;0.958036;0.916667;
60;0.108514;0.964286;0.920833;
61;0.110534;0.956250;0.904167;
62;0.095971;0.966964;0.929167;
63;0.088865;0.970536;0.879167;
64;0.100517;0.963393;0.904167;
65;0.092482;0.970536;0.941667;
66;0.100631;0.964286;0.937500;
67;0.081444;0.974107;0.912500;
68;0.086774;0.966071;0.895833;
69;0.083536;0.961607;0.916667;
70;0.077920;0.974107;0.908333;
71;0.084167;0.971429;0.920833;
72;0.078474;0.969643;0.908333;
73;0.084757;0.969643;0.925000;
74;0.082952;0.971429;0.920833;
75;0.071734;0.978571;0.929167;
76;0.094543;0.965179;0.904167;
77;0.081975;0.974107;0.866667;
78;0.098341;0.963393;0.912500;
79;0.071597;0.974107;0.920833;
80;0.074932;0.975000;0.891667;
81;0.068786;0.978571;0.908333;
82;0.060673;0.977679;0.908333;
83;0.066845;0.973214;0.908333;
84;0.097670;0.958929;0.908333;
85;0.064471;0.971429;0.916667;
